epoch,train_loss,test_loss
1,38.709161104329425,22.414838372802734
2,17.64595859781901,14.046016604614257
3,12.361760337320964,10.374431692504883
4,9.612632501220704,8.604935529327392
5,8.142851955159506,7.488870858764648
6,7.223621366373698,6.826838212585449
7,6.530668856811523,6.2144675483703615
8,6.036370653279622,5.930908707427979
9,5.6878774485270185,5.667498709869385
10,5.404599715169271,5.4426586563110355
11,5.155016587320963,5.207081997680664
12,4.953372450256348,5.011432766723633
13,4.778341192626953,4.961912275695801
14,4.620095515950521,4.7715952083587645
15,4.4651584096272785,4.62459960861206
16,4.344851218159993,4.5978110397338865
17,4.241766656494141,4.526436427307129
18,4.134015339660644,4.387566872406006
19,4.028487373860677,4.228551261901855
20,3.9519703887939452,4.215331436538697
21,3.8709986495971678,4.1595776069641115
22,3.8085511383056643,4.124122993469238
23,3.7366030186971027,4.009235682678223
24,3.6638791020711263,4.027554731750488
25,3.6119227579752606,3.967787956619263
26,3.5544731577555337,3.969380563354492
27,3.497725326538086,3.9363402130126954
28,3.440912299601237,3.825942279052734
29,3.387208912150065,3.695355941772461
30,3.340505639139811,3.7165748973846435
31,3.2872498509724934,3.7000007846832275
32,3.2639298583984373,3.7151285514831542
33,3.219747051493327,3.6061299198150634
34,3.195136635843913,3.6943008628845213
35,3.1494253946940103,3.54060897064209
36,3.1134144002278648,3.6089743717193605
37,3.099464434814453,3.55036633682251
38,3.0646309875488282,3.5214107501983642
39,3.0368804000854492,3.5398847816467285
40,3.008981916300456,3.4844262355804445
41,2.9974437896728516,3.480373251724243
42,2.9656160959879556,3.444352978515625
43,2.9575771896362304,3.470669578552246
44,2.920378976949056,3.468617811203003
45,2.909075446573893,3.485166236877441
46,2.888634134419759,3.422051248550415
47,2.869857521057129,3.4540508750915526
48,2.8618558385213215,3.3633767295837402
49,2.8362688288370768,3.3809577369689943
50,2.8212282725016276,3.4216929126739504
